0,1,poisonous,odor,gill size,bruises,population,habitat,spore print color
7.3204575,31.592216,0,none,broad,no,abundant,grasses,black
-15.754054,-6.1876764,0,anise,broad,yes,scattered,grasses,black
-23.878054,8.582734,0,almond,broad,yes,scattered,grasses,brown
-21.950317,2.0070488,0,almond,broad,yes,numerous,grasses,black
23.386955,-2.8204544,0,none,narrow,no,several,urban,brown
28.26796,-11.681933,0,anise,narrow,yes,several,woods,brown
-12.356979,-5.707021,0,anise,broad,yes,scattered,meadows,brown
28.284023,-11.665444,0,anise,narrow,yes,several,woods,brown
-12.868688,-12.261426,0,almond,broad,yes,scattered,paths,black
-5.1567593,-18.680231,0,almond,broad,yes,scattered,grasses,black
28.286392,-11.662937,0,anise,narrow,yes,several,woods,brown
32.944088,-0.06612907,0,anise,narrow,yes,several,woods,purple
-6.098243,-13.954919,0,anise,broad,yes,solitary,paths,brown
4.1891437,-22.78408,1,pungent,narrow,yes,several,urban,brown
-18.659283,2.5311968,0,almond,broad,yes,solitary,grasses,brown
14.762257,25.472227,0,none,broad,no,scattered,grasses,brown
14.868313,-19.962152,1,pungent,narrow,yes,scattered,grasses,black
13.621601,-6.4783845,0,none,narrow,no,solitary,urban,brown
14.467522,25.685934,0,none,broad,no,scattered,grasses,brown
-15.763663,-6.197329,0,anise,broad,yes,scattered,grasses,black
-7.005127,18.038605,0,none,broad,no,scattered,grasses,black
-5.096068,-18.741146,0,almond,broad,yes,scattered,grasses,black
-14.372114,-10.114996,0,anise,broad,yes,scattered,grasses,brown
-18.80978,4.4831195,0,anise,broad,yes,solitary,grasses,black
23.393255,-2.8162818,0,none,narrow,no,several,urban,brown
13.621679,-6.478226,0,none,narrow,no,solitary,urban,brown
-15.757901,-6.191913,0,anise,broad,yes,scattered,grasses,black
-5.1141806,-18.722881,0,almond,broad,yes,scattered,grasses,black
-2.5146024,-6.212164,0,anise,broad,yes,numerous,meadows,black
-4.271567,26.573574,0,none,broad,no,abundant,grasses,brown
-23.90859,8.624263,0,almond,broad,yes,scattered,grasses,brown
-14.392107,-10.095078,0,anise,broad,yes,scattered,grasses,brown
-21.926903,2.0300546,0,almond,broad,yes,numerous,grasses,black
-23.862692,8.581035,0,almond,broad,yes,scattered,grasses,brown
-5.1150937,-18.72184,0,almond,broad,yes,scattered,grasses,black
-6.7066035,18.027739,0,none,broad,no,scattered,grasses,black
-16.98451,8.610476,0,anise,broad,yes,numerous,grasses,black
-14.401073,-10.085725,0,anise,broad,yes,scattered,grasses,brown
-5.9618483,-14.091573,0,almond,broad,yes,solitary,paths,black
-19.779114,-1.3398472,0,anise,broad,yes,numerous,grasses,brown
-11.139753,-15.720533,0,almond,broad,yes,numerous,meadows,black
-18.659542,2.5314054,0,almond,broad,yes,solitary,grasses,brown
-6.0850024,-9.306748,0,anise,broad,yes,scattered,meadows,black
-15.811696,-2.681755,0,almond,broad,yes,scattered,meadows,brown
-11.147943,-15.728245,0,almond,broad,yes,numerous,meadows,black
-16.989687,8.605132,0,anise,broad,yes,numerous,grasses,black
17.145664,-9.613946,0,none,narrow,no,solitary,urban,black
22.525047,-9.335729,0,almond,narrow,yes,several,woods,purple
-11.148815,-15.729927,0,almond,broad,yes,numerous,meadows,black
4.2030296,-22.769642,1,pungent,narrow,yes,several,urban,brown
-14.388205,-10.098689,0,anise,broad,yes,scattered,grasses,brown
13.62117,-6.4777327,0,none,narrow,no,solitary,urban,brown
-18.810196,4.4833884,0,anise,broad,yes,solitary,grasses,black
32.944195,-0.066121206,0,anise,narrow,yes,several,woods,purple
13.622495,-6.479162,0,none,narrow,no,solitary,urban,brown
16.555662,-21.002062,1,pungent,narrow,yes,several,grasses,black
-10.064496,-8.140211,0,almond,broad,yes,numerous,meadows,brown
16.55722,-21.000057,1,pungent,narrow,yes,several,grasses,black
-4.155969,27.075378,0,none,broad,no,abundant,grasses,brown
-12.326658,-5.67588,0,anise,broad,yes,scattered,meadows,brown
-6.934662,18.061323,0,none,broad,no,scattered,grasses,black
-18.203526,-4.1108723,0,almond,broad,yes,numerous,grasses,brown
-4.21066,27.027884,0,none,broad,no,abundant,grasses,brown
-16.974693,8.620213,0,anise,broad,yes,numerous,grasses,black
-12.320535,-5.6699567,0,anise,broad,yes,scattered,meadows,brown
-14.348074,-10.141038,0,anise,broad,yes,scattered,grasses,brown
-12.309206,-5.6585264,0,anise,broad,yes,scattered,meadows,brown
32.944065,-0.06610023,0,anise,narrow,yes,several,woods,purple
-6.095283,-9.2959585,0,anise,broad,yes,scattered,meadows,black
5.3316636,-16.5256,0,almond,narrow,yes,several,woods,brown
4.192751,-22.779886,1,pungent,narrow,yes,several,urban,brown
28.285692,-11.663752,0,anise,narrow,yes,several,woods,brown
-23.885853,8.595622,0,almond,broad,yes,scattered,grasses,brown
8.237993,-16.413832,1,pungent,narrow,yes,several,grasses,brown
-19.792263,-1.3267108,0,anise,broad,yes,numerous,grasses,brown
-5.9760466,-14.077507,0,almond,broad,yes,solitary,paths,black
-2.5426936,-6.1839633,0,anise,broad,yes,numerous,meadows,black
23.385569,-2.8234987,0,none,narrow,no,several,urban,brown
-5.988259,-14.065138,0,almond,broad,yes,solitary,paths,black
-21.946655,2.0104373,0,almond,broad,yes,numerous,grasses,black
-6.9637218,18.041103,0,none,broad,no,scattered,grasses,black
-4.4843626,26.87883,0,none,broad,no,abundant,grasses,brown
-8.931117,-11.684002,0,anise,broad,yes,numerous,meadows,brown
-16.99412,8.600791,0,anise,broad,yes,numerous,grasses,black
-11.15719,-15.739843,0,almond,broad,yes,numerous,meadows,black
-23.880796,8.580466,0,almond,broad,yes,scattered,grasses,brown
-4.2636313,26.850578,0,none,broad,no,abundant,grasses,brown
-14.358254,-10.129929,0,anise,broad,yes,scattered,grasses,brown
19.233677,-12.900014,0,none,narrow,no,several,urban,black
22.529213,-9.339954,0,almond,narrow,yes,several,woods,purple
-15.727331,-6.160776,0,anise,broad,yes,scattered,grasses,black
-18.220303,-4.0939126,0,almond,broad,yes,numerous,grasses,brown
-18.21982,-4.094044,0,almond,broad,yes,numerous,grasses,brown
-22.939014,5.4922986,0,almond,broad,yes,scattered,meadows,black
-5.1076202,-18.729479,0,almond,broad,yes,scattered,grasses,black
-6.1382966,-9.253,0,anise,broad,yes,scattered,meadows,black
-21.948208,2.0091274,0,almond,broad,yes,numerous,grasses,black
13.622643,-6.4794273,0,none,narrow,no,solitary,urban,brown
-18.81089,4.484612,0,anise,broad,yes,solitary,grasses,brown
-23.905346,8.554233,0,almond,broad,yes,scattered,grasses,brown
-6.0946603,-13.95851,0,anise,broad,yes,solitary,paths,brown
-23.880543,8.580927,0,almond,broad,yes,scattered,grasses,brown
-22.930187,5.5009413,0,almond,broad,yes,scattered,meadows,black
-18.809376,4.4828386,0,anise,broad,yes,solitary,grasses,black
-5.099899,-18.736996,0,almond,broad,yes,scattered,grasses,black
13.626057,-6.4825654,0,none,narrow,no,solitary,urban,brown
-14.348023,-10.140195,0,anise,broad,yes,scattered,grasses,brown
32.94412,-0.06611513,0,anise,narrow,yes,several,woods,purple
-5.1184278,-18.718575,0,almond,broad,yes,scattered,grasses,black
-14.356199,-10.132182,0,anise,broad,yes,scattered,grasses,brown
-2.5623095,-6.1633787,0,anise,broad,yes,numerous,meadows,black
-11.139799,-15.721443,0,almond,broad,yes,numerous,meadows,black
-23.891727,8.59844,0,almond,broad,yes,scattered,grasses,brown
-8.932516,-11.68551,0,anise,broad,yes,numerous,meadows,brown
-19.811676,-1.3074557,0,anise,broad,yes,numerous,grasses,brown
4.1999483,-22.772387,1,pungent,narrow,yes,several,urban,brown
13.622563,-6.479277,0,none,narrow,no,solitary,urban,brown
19.221859,-12.911763,0,none,narrow,no,several,urban,black
-15.813092,-2.6804702,0,almond,broad,yes,scattered,meadows,brown
-12.895664,-12.23412,0,almond,broad,yes,scattered,paths,black
14.868864,-19.962694,1,pungent,narrow,yes,scattered,grasses,black
-12.314074,-5.662708,0,anise,broad,yes,scattered,meadows,brown
19.21713,-12.916482,0,none,narrow,no,several,urban,black
-19.79222,-1.3270284,0,anise,broad,yes,numerous,grasses,brown
-6.025319,-14.027979,0,almond,broad,yes,solitary,paths,brown
-7.0919204,17.959846,0,none,broad,no,scattered,grasses,black
28.285856,-11.66355,0,anise,narrow,yes,several,woods,brown
-12.318137,-5.666999,0,anise,broad,yes,scattered,meadows,brown
5.343819,-16.511532,0,almond,narrow,yes,several,woods,brown
-10.067632,-8.13715,0,almond,broad,yes,numerous,meadows,brown
13.6396885,-6.496355,0,none,narrow,no,solitary,urban,brown
-5.121376,-18.715614,0,almond,broad,yes,scattered,grasses,black
-8.938132,-11.691303,0,anise,broad,yes,numerous,meadows,brown
-12.333381,-5.6823463,0,anise,broad,yes,scattered,meadows,brown
5.3312755,-16.52652,0,almond,narrow,yes,several,woods,brown
-14.378752,-10.109744,0,anise,broad,yes,scattered,grasses,brown
-15.770146,-6.2039547,0,anise,broad,yes,scattered,grasses,black
-21.95026,2.0070517,0,almond,broad,yes,numerous,grasses,black
-7.1726317,18.177502,0,none,broad,no,scattered,grasses,black
-5.951979,-14.101417,0,anise,broad,yes,solitary,paths,black
4.1771126,-22.795282,1,pungent,narrow,yes,several,urban,brown
-18.20633,-4.107472,0,almond,broad,yes,numerous,grasses,brown
-22.929169,5.50201,0,almond,broad,yes,scattered,meadows,black
-19.802265,-1.3166851,0,anise,broad,yes,numerous,grasses,brown
-21.948858,2.0083473,0,almond,broad,yes,numerous,grasses,black
-5.126154,-18.71087,0,almond,broad,yes,scattered,grasses,black
-2.542333,-6.184948,0,anise,broad,yes,numerous,meadows,black
5.345099,-16.513105,0,almond,narrow,yes,several,woods,brown
13.622621,-6.479524,0,none,narrow,no,solitary,urban,brown
-23.891005,8.599594,0,almond,broad,yes,scattered,grasses,brown
-2.503199,-6.223416,0,anise,broad,yes,numerous,meadows,black
-5.1231046,-18.713287,0,almond,broad,yes,scattered,grasses,black
-5.1213136,-18.715687,0,almond,broad,yes,scattered,grasses,black
-14.368161,-10.119976,0,anise,broad,yes,scattered,grasses,brown
23.39271,-2.8165777,0,none,narrow,no,several,urban,brown
-10.051987,-8.152718,0,almond,broad,yes,numerous,meadows,brown
14.868428,-19.962374,1,pungent,narrow,yes,scattered,grasses,black
-23.850918,8.5668125,0,almond,broad,yes,scattered,grasses,brown
5.32997,-16.527796,0,almond,narrow,yes,several,woods,brown
-2.5272834,-6.199537,0,anise,broad,yes,numerous,meadows,black
-15.752932,-6.186806,0,anise,broad,yes,scattered,grasses,black
-18.249037,-4.06512,0,almond,broad,yes,numerous,grasses,brown
-23.860603,8.601903,0,almond,broad,yes,scattered,grasses,brown
11.361563,-20.449408,1,pungent,narrow,yes,several,urban,black
-18.220356,-4.0937667,0,almond,broad,yes,numerous,grasses,brown
17.141659,-9.606017,0,none,narrow,no,solitary,urban,black
6.3619075,-19.592987,1,pungent,narrow,yes,scattered,urban,black
-6.0743475,-13.978846,0,anise,broad,yes,solitary,paths,brown
19.224577,-12.909006,0,none,narrow,no,several,urban,black
-19.804308,-1.3148823,0,anise,broad,yes,numerous,grasses,brown
28.28281,-11.66667,0,anise,narrow,yes,several,woods,brown
-15.754359,-6.188468,0,anise,broad,yes,scattered,grasses,black
-14.35013,-10.138224,0,anise,broad,yes,scattered,grasses,brown
-15.740253,-6.1744566,0,anise,broad,yes,scattered,grasses,black
-12.874511,-12.255558,0,almond,broad,yes,scattered,paths,black
-6.011211,-14.04211,0,almond,broad,yes,solitary,paths,black
-15.769543,-6.203552,0,anise,broad,yes,scattered,grasses,black
-10.0738325,-8.130855,0,almond,broad,yes,numerous,meadows,brown
11.319648,-20.491535,1,pungent,narrow,yes,several,urban,black
22.524813,-9.335504,0,almond,narrow,yes,several,woods,purple
-14.364823,-10.123169,0,anise,broad,yes,scattered,grasses,brown
32.943443,-0.066113725,0,anise,narrow,yes,several,woods,purple
-22.936985,5.4943686,0,almond,broad,yes,scattered,meadows,black
-5.9623184,-14.091139,0,anise,broad,yes,solitary,paths,black
-7.0855427,18.294325,0,none,broad,no,scattered,grasses,black
-18.670925,2.557267,0,almond,broad,yes,solitary,grasses,brown
22.980425,-17.82357,1,pungent,narrow,yes,scattered,grasses,brown
23.392378,-2.8170145,0,none,narrow,no,several,urban,brown
-12.297868,-5.647024,0,anise,broad,yes,scattered,meadows,brown
-14.358811,-10.129459,0,anise,broad,yes,scattered,grasses,brown
-8.929151,-11.682274,0,anise,broad,yes,numerous,meadows,brown
23.39235,-2.8169482,0,none,narrow,no,several,urban,brown
-11.147445,-15.728552,0,almond,broad,yes,numerous,meadows,black
-16.982655,8.612388,0,anise,broad,yes,numerous,grasses,black
-10.063103,-8.141563,0,almond,broad,yes,numerous,meadows,brown
-14.341679,-10.1467085,0,anise,broad,yes,scattered,grasses,brown
16.553337,-21.004837,1,pungent,narrow,yes,several,grasses,black
-18.2057,-4.1081486,0,almond,broad,yes,numerous,grasses,brown
-15.80822,-2.685464,0,almond,broad,yes,scattered,meadows,brown
32.94403,-0.06610325,0,anise,narrow,yes,several,woods,purple
19.260025,-12.873272,0,none,narrow,no,several,urban,black
7.3051977,31.633543,0,none,broad,no,abundant,grasses,black
-15.81235,-2.6812537,0,almond,broad,yes,scattered,meadows,brown
-15.8067875,-2.6870277,0,almond,broad,yes,scattered,meadows,brown
6.3510566,-19.60685,1,pungent,narrow,yes,scattered,urban,black
-2.522157,-6.204288,0,anise,broad,yes,numerous,meadows,black
11.352424,-20.458586,1,pungent,narrow,yes,several,urban,black
-14.365878,-10.122489,0,anise,broad,yes,scattered,grasses,brown
-10.070163,-8.1346035,0,almond,broad,yes,numerous,meadows,brown
-12.886536,-12.243622,0,almond,broad,yes,scattered,paths,brown
-12.893426,-12.236817,0,almond,broad,yes,scattered,paths,brown
-18.67057,2.5289855,0,almond,broad,yes,solitary,grasses,brown
-10.071304,-8.13326,0,almond,broad,yes,numerous,meadows,brown
-7.017284,18.234951,0,none,broad,no,scattered,grasses,black
-8.931948,-11.68495,0,anise,broad,yes,numerous,meadows,brown
22.984943,-17.818943,1,pungent,narrow,yes,scattered,grasses,brown
-10.066458,-8.138265,0,almond,broad,yes,numerous,meadows,brown
23.393715,-2.8161733,0,none,narrow,no,several,urban,brown
-6.0839643,-9.307761,0,anise,broad,yes,scattered,meadows,black
-2.5236187,-6.203171,0,anise,broad,yes,numerous,meadows,black
-5.125985,-18.711098,0,almond,broad,yes,scattered,grasses,black
-22.938358,5.492972,0,almond,broad,yes,scattered,meadows,black
-5.119373,-18.71758,0,almond,broad,yes,scattered,grasses,black
-6.072997,-13.980228,0,anise,broad,yes,solitary,paths,brown
13.61835,-6.475094,0,none,narrow,no,solitary,urban,brown
17.134548,-9.603293,0,none,narrow,no,solitary,urban,black
-15.764608,-6.1985803,0,anise,broad,yes,scattered,grasses,black
-6.093704,-9.298218,0,anise,broad,yes,scattered,meadows,black
-14.376091,-10.111768,0,anise,broad,yes,scattered,grasses,brown
-22.921404,5.5099845,0,almond,broad,yes,scattered,meadows,black
-10.075161,-8.129602,0,almond,broad,yes,numerous,meadows,brown
-22.938059,5.4932003,0,almond,broad,yes,scattered,meadows,black
-6.9970236,18.0944,0,none,broad,no,scattered,grasses,black
5.3299456,-16.528069,0,almond,narrow,yes,several,woods,brown
14.870662,-19.964762,1,pungent,narrow,yes,scattered,grasses,black
7.2847657,31.61526,0,none,broad,no,abundant,grasses,black
-5.1261387,-18.71087,0,almond,broad,yes,scattered,grasses,black
28.280798,-11.66889,0,anise,narrow,yes,several,woods,brown
-5.111567,-18.725384,0,almond,broad,yes,scattered,grasses,black
-15.76452,-6.1982384,0,anise,broad,yes,scattered,grasses,black
0.5077343,7.1804323,0,none,broad,yes,solitary,woods,brown
-12.321333,-5.670604,0,anise,broad,yes,scattered,meadows,brown
-8.912927,-11.665704,0,anise,broad,yes,numerous,meadows,brown
-18.65916,2.53047,0,almond,broad,yes,solitary,grasses,black
14.700942,25.557688,0,none,broad,no,scattered,grasses,brown
-15.736676,-6.1705623,0,anise,broad,yes,scattered,grasses,black
8.252643,-16.399687,1,pungent,narrow,yes,several,grasses,brown
-15.767499,-6.2014294,0,anise,broad,yes,scattered,grasses,black
5.3206735,-16.537617,0,almond,narrow,yes,several,woods,brown
-18.202175,-4.1115623,0,almond,broad,yes,numerous,grasses,brown
11.369384,-20.4413,1,pungent,narrow,yes,several,urban,black
5.331489,-16.525639,0,almond,narrow,yes,several,woods,brown
-11.165293,-15.747557,0,almond,broad,yes,numerous,meadows,black
28.29186,-11.653793,0,anise,narrow,yes,several,woods,brown
28.292833,-11.656597,0,anise,narrow,yes,several,woods,brown
-12.320083,-5.668906,0,anise,broad,yes,scattered,meadows,brown
22.524725,-9.335458,0,almond,narrow,yes,several,woods,purple
-5.133844,-18.70312,0,almond,broad,yes,scattered,grasses,black
-22.9363,5.4951725,0,almond,broad,yes,scattered,meadows,black
-15.889802,-13.852776,0,anise,broad,yes,scattered,paths,brown
-16.981268,8.613657,0,anise,broad,yes,numerous,grasses,black
-15.818999,-2.6744838,0,almond,broad,yes,scattered,meadows,brown
4.1954436,-22.776985,1,pungent,narrow,yes,several,urban,brown
-16.990961,8.603973,0,anise,broad,yes,numerous,grasses,black
-21.949799,2.0068765,0,almond,broad,yes,numerous,grasses,black
11.377355,-20.433659,1,pungent,narrow,yes,several,urban,black
-6.1102676,-9.2810335,0,anise,broad,yes,scattered,meadows,black
-8.937796,-11.690377,0,anise,broad,yes,numerous,meadows,brown
-5.114042,-18.722971,0,almond,broad,yes,scattered,grasses,black
-19.81588,-1.3032149,0,anise,broad,yes,numerous,grasses,brown
-6.3343964,-1.9892741,0,none,broad,yes,solitary,woods,black
-18.66108,2.5319202,0,almond,broad,yes,solitary,grasses,black
-14.407829,-10.07837,0,anise,broad,yes,scattered,grasses,brown
23.392843,-2.8164663,0,none,narrow,no,several,urban,brown
-18.810282,4.483727,0,anise,broad,yes,solitary,grasses,black
-23.912,8.5661545,0,almond,broad,yes,scattered,grasses,brown
-21.944668,2.0128286,0,almond,broad,yes,numerous,grasses,black
-22.931208,5.500092,0,almond,broad,yes,scattered,meadows,black
5.331951,-16.525753,0,almond,narrow,yes,several,woods,brown
-14.392086,-10.094878,0,anise,broad,yes,scattered,grasses,brown
-4.349805,26.882423,0,none,broad,no,abundant,grasses,brown
28.282625,-11.666921,0,anise,narrow,yes,several,woods,brown
-10.07067,-8.134067,0,almond,broad,yes,numerous,meadows,brown
-7.085587,18.257702,0,none,broad,no,scattered,grasses,black
13.622294,-6.4789257,0,none,narrow,no,solitary,urban,brown
-4.2428217,26.777262,0,none,broad,no,abundant,grasses,brown
-12.885737,-12.244349,0,almond,broad,yes,scattered,paths,brown
-23.875282,8.579433,0,almond,broad,yes,scattered,grasses,brown
-22.957401,5.474126,0,almond,broad,yes,scattered,meadows,black
-15.89051,-13.853324,0,anise,broad,yes,scattered,paths,black
23.40152,-2.8075206,0,none,narrow,no,several,urban,brown
-6.021696,-14.031755,0,almond,broad,yes,solitary,paths,brown
6.3692427,-19.586514,1,pungent,narrow,yes,scattered,urban,black
-6.0060587,-14.047922,0,almond,broad,yes,solitary,paths,brown
-23.876637,8.591361,0,almond,broad,yes,scattered,grasses,brown
14.713266,25.59373,0,none,broad,no,scattered,grasses,brown
7.1474195,31.451546,0,none,broad,no,abundant,grasses,black
7.1239367,31.57472,0,none,broad,no,abundant,grasses,black
-12.893586,-12.236675,0,almond,broad,yes,scattered,paths,brown
-21.948317,2.008841,0,almond,broad,yes,numerous,grasses,black
19.223866,-12.909822,0,none,narrow,no,several,urban,black
-12.902233,-12.227808,0,almond,broad,yes,scattered,paths,brown
22.52377,-9.334756,0,almond,narrow,yes,several,woods,purple
-18.232523,-4.081566,0,almond,broad,yes,numerous,grasses,brown
-6.780189,17.892912,0,none,broad,no,scattered,grasses,black
-23.879225,8.593552,0,almond,broad,yes,scattered,grasses,brown
-18.810986,4.483424,0,anise,broad,yes,solitary,grasses,black
-22.924568,5.5067935,0,almond,broad,yes,scattered,meadows,black
13.618314,-6.475081,0,none,narrow,no,solitary,urban,brown
-22.938507,5.492636,0,almond,broad,yes,scattered,meadows,black
-16.989546,8.605375,0,anise,broad,yes,numerous,grasses,black
17.143888,-9.608229,0,none,narrow,no,solitary,urban,black
-8.933293,-11.686035,0,anise,broad,yes,numerous,meadows,brown
-19.796904,-1.3221313,0,anise,broad,yes,numerous,grasses,brown
-23.876898,8.590828,0,almond,broad,yes,scattered,grasses,brown
6.364068,-19.592556,1,pungent,narrow,yes,scattered,urban,black
14.709709,25.526644,0,none,broad,no,scattered,grasses,brown
-22.936552,5.494706,0,almond,broad,yes,scattered,meadows,black
-18.217953,-4.0966415,0,almond,broad,yes,numerous,grasses,brown
-0.09857605,6.790162,0,none,broad,yes,solitary,woods,brown
15.026352,-16.381014,1,pungent,narrow,yes,scattered,urban,brown
-5.943114,-14.110221,0,anise,broad,yes,solitary,paths,black
7.0592685,31.369043,0,none,broad,no,abundant,grasses,black
-2.538126,-6.18863,0,anise,broad,yes,numerous,meadows,black
-10.077376,-8.127282,0,almond,broad,yes,numerous,meadows,brown
-15.824033,-2.6694398,0,almond,broad,yes,scattered,meadows,brown
-2.5368352,-6.189905,0,anise,broad,yes,numerous,meadows,black
-18.192326,-4.1212797,0,almond,broad,yes,numerous,grasses,brown
23.392843,-2.8164496,0,none,narrow,no,several,urban,brown
-5.116105,-18.72093,0,almond,broad,yes,scattered,grasses,black
-4.0926228,26.83391,0,none,broad,no,abundant,grasses,brown
-8.936149,-11.688919,0,anise,broad,yes,numerous,meadows,brown
-12.314555,-5.6637855,0,anise,broad,yes,scattered,meadows,brown
19.222317,-12.911252,0,none,narrow,no,several,urban,black
15.024982,-16.383543,1,pungent,narrow,yes,scattered,urban,brown
-19.760447,-1.3586271,0,anise,broad,yes,numerous,grasses,brown
-11.133209,-15.7151785,0,almond,broad,yes,numerous,meadows,black
4.186121,-22.786304,1,pungent,narrow,yes,several,urban,brown
-12.31277,-5.661815,0,anise,broad,yes,scattered,meadows,brown
-12.3191,-5.668116,0,anise,broad,yes,scattered,meadows,brown
-6.0685806,-9.322937,0,anise,broad,yes,scattered,meadows,black
-19.812359,-1.3066485,0,anise,broad,yes,numerous,grasses,brown
-15.802696,-2.6910362,0,almond,broad,yes,scattered,meadows,brown
-5.129628,-18.707346,0,almond,broad,yes,scattered,grasses,black
-6.071362,-13.98186,0,anise,broad,yes,solitary,paths,brown
-15.805555,-2.6880124,0,almond,broad,yes,scattered,meadows,brown
-6.769815,17.89518,0,none,broad,no,scattered,grasses,black
-15.891604,-13.85454,0,anise,broad,yes,scattered,paths,brown
-18.81112,4.4844646,0,anise,broad,yes,solitary,grasses,black
16.573895,-20.983282,1,pungent,narrow,yes,several,grasses,black
-18.196436,-4.117203,0,almond,broad,yes,numerous,grasses,brown
32.944054,-0.06608911,0,anise,narrow,yes,several,woods,purple
6.3563437,-19.596273,1,pungent,narrow,yes,scattered,urban,black
-16.98169,8.613252,0,anise,broad,yes,numerous,grasses,black
-4.081507,26.864536,0,none,broad,no,abundant,grasses,brown
-15.753935,-6.18793,0,anise,broad,yes,scattered,grasses,black
-15.813556,-2.6801128,0,almond,broad,yes,scattered,meadows,brown
15.0126095,-16.394356,1,pungent,narrow,yes,scattered,urban,brown
-15.743895,-6.1777177,0,anise,broad,yes,scattered,grasses,black
-8.933429,-11.686392,0,anise,broad,yes,numerous,meadows,brown
